Data,Retorno
2012-08-28,-0.003906378797282284
2012-08-29,0.005070229670606663
2012-08-30,-0.0014426808003962233
2012-08-31,-0.00394446828318884
2012-09-03,0.00039747659997169116
2012-09-04,0.0053326947981662265
2012-09-05,0.0039749550326819705
2012-09-06,-0.009640387630399205
2012-09-10,-0.0027953936781762723
2012-09-11,-0.00778768681442199
2012-09-12,-0.011166938829364481
2012-09-13,-0.0028146540295953537
2012-09-14,8.389289732946281e-05
2012-09-17,0.004565362623011993
2012-09-18,0.002164151312665341
2012-09-19,0.0005823860108453704
2012-09-20,0.000866336650635402
2012-09-21,0.0017943469825059122
2012-09-24,-0.001650008190647534
2012-09-25,0.01022171544613859
2012-09-26,-0.0030634030505657384
2012-09-27,0.0019664388230675733
2012-09-28,0.005759714788554193
